,filename,range_lambdas,alpha_half,run_time,best_feasible_obj,best_lb,number_lagrangian_iterations,what_stopped_lagrangian
271,cap71,80,4,9.230907440185547,932615.75,930393.4309160936,201,max iterations
272,cap71,80,6,1.9505515098571777,932615.75,932528.4611288696,23,reached dual gap tolerance
273,cap71,80,8,1.2395727634429932,932615.75,932522.9451194038,15,reached dual gap tolerance
274,cap71,80,10,1.6658108234405518,932615.75,932557.1392528693,18,reached dual gap tolerance
275,cap71,80,12,1.7210462093353271,932615.75,932528.1499710261,24,reached dual gap tolerance
276,cap71,80,14,1.8561606407165527,932615.75,932531.2643227094,23,reached dual gap tolerance
277,cap71,80,16,1.8482732772827148,932615.75,932555.1496084552,22,reached dual gap tolerance
278,cap71,80,18,1.9375660419464111,932615.75,932615.7500000001,24,reached subgradient tolerance and dual gap tolerance
279,cap71,80,20,1.8838446140289307,932615.75,932528.6571723116,23,reached dual gap tolerance
280,cap71,90,2,9.406689167022705,932615.75,921445.9512482435,201,max iterations
281,cap71,90,4,9.575419425964355,932615.75,930393.4309160936,201,max iterations
282,cap71,90,6,1.6637024879455566,932615.75,932528.4611288696,23,reached dual gap tolerance
283,cap71,90,8,1.4686357975006104,932615.75,932522.9451194038,15,reached dual gap tolerance
284,cap71,90,10,1.4150962829589844,932615.75,932557.1392528693,18,reached dual gap tolerance
285,cap71,90,12,2.005401611328125,932615.75,932528.1499710261,24,reached dual gap tolerance
286,cap71,90,14,1.9238333702087402,932615.75,932531.2643227094,23,reached dual gap tolerance
287,cap71,90,16,1.8658170700073242,932615.75,932555.1496084552,22,reached dual gap tolerance
288,cap71,90,18,2.0732712745666504,932615.75,932615.7500000001,24,reached subgradient tolerance and dual gap tolerance
289,cap71,90,20,1.923436164855957,932615.75,932528.6571723116,23,reached dual gap tolerance
290,cap71,100,2,9.286829233169556,932615.75,921445.9512482435,201,max iterations
291,cap71,100,4,9.429162502288818,932615.75,930393.4309160936,201,max iterations
292,cap71,100,6,1.7729933261871338,932615.75,932528.4611288696,23,reached dual gap tolerance
293,cap71,100,8,1.540468692779541,932615.75,932522.9451194038,15,reached dual gap tolerance
294,cap71,100,10,1.4941349029541016,932615.75,932557.1392528693,18,reached dual gap tolerance
