,filename,range_lambdas,alpha_half,run_time,best_feasible_obj,best_lb,number_lagrangian_iterations,what_stopped_lagrangian
216,cap71,20,14,0.4290444850921631,0.0,0.0,0,unclear if the intergrality property holds
217,cap71,20,16,0.4015040397644043,0.0,0.0,0,unclear if the intergrality property holds
218,cap71,20,18,0.4081571102142334,0.0,0.0,0,unclear if the intergrality property holds
219,cap71,20,20,0.41434526443481445,0.0,0.0,0,unclear if the intergrality property holds
220,cap71,30,2,5.972792625427246,932615.75,923310.7241216039,201,max iterations
221,cap71,30,4,5.89272141456604,932615.75,930727.9650598641,201,max iterations
222,cap71,30,6,1.1351377964019775,932615.75,932530.2136563497,21,reached dual gap tolerance
223,cap71,30,8,1.3036391735076904,932615.75,932529.4157170538,25,reached dual gap tolerance
224,cap71,30,10,1.1355571746826172,932615.75,932559.7840065479,20,reached dual gap tolerance
225,cap71,30,12,1.4137988090515137,932615.75,932552.7172096914,30,reached dual gap tolerance
226,cap71,30,14,1.2973005771636963,932615.75,932577.915558426,25,reached dual gap tolerance
227,cap71,30,16,1.5568294525146484,932615.75,932529.6002185072,31,reached dual gap tolerance
228,cap71,30,18,1.329467535018921,932615.75,932552.2645503693,27,reached dual gap tolerance
229,cap71,30,20,1.2099180221557617,932615.75,932592.059749472,23,reached dual gap tolerance
230,cap71,40,2,6.234179258346558,932615.75,924351.9842280402,201,max iterations
231,cap71,40,4,6.211548328399658,932615.75,931210.0953820884,201,max iterations
232,cap71,40,6,1.262321949005127,932615.75,932522.6121621907,20,reached dual gap tolerance
233,cap71,40,8,6.28873610496521,932615.75,932451.343490243,201,max iterations
234,cap71,40,10,1.2552998065948486,932615.75,932542.9114366533,20,reached dual gap tolerance
235,cap71,40,12,1.3005261421203613,932615.75,932607.0404641854,22,reached dual gap tolerance
236,cap71,40,14,1.2829604148864746,932615.75,932542.4696051031,21,reached dual gap tolerance
237,cap71,40,16,1.357527732849121,932615.75,932557.4649298453,23,reached dual gap tolerance
238,cap71,40,18,1.5088913440704346,932615.75,932615.75,29,reached subgradient tolerance and dual gap tolerance
239,cap71,40,20,1.4868574142456055,932615.75,932531.3526258357,28,reached dual gap tolerance
240,cap71,50,2,9.14854121208191,932615.75,926365.1833865156,201,max iterations
241,cap71,50,4,11.120936393737793,932615.75,931362.122854035,201,max iterations
242,cap71,50,6,1.73225998878479,932615.75,932566.5489944521,16,reached dual gap tolerance
243,cap71,50,8,1.7941687107086182,932615.75,932536.3260970731,15,reached dual gap tolerance
244,cap71,50,10,2.090989589691162,932615.75,932585.84375,19,reached dual gap tolerance
245,cap71,50,12,1.9692625999450684,932615.75,932597.3,16,reached dual gap tolerance
246,cap71,50,14,2.0094125270843506,932615.75,932535.368771029,17,reached dual gap tolerance
247,cap71,50,16,2.0610268115997314,932615.75,932556.0218893973,19,reached dual gap tolerance
248,cap71,50,18,2.08939528465271,932615.75,932537.6572818973,19,reached dual gap tolerance
249,cap71,50,20,2.062535285949707,932615.75,932539.706085793,19,reached dual gap tolerance
250,cap71,60,2,10.818485736846924,932615.75,926365.1833865156,201,max iterations
251,cap71,60,4,11.502833366394043,932615.75,931362.122854035,201,max iterations
252,cap71,60,6,1.9604933261871338,932615.75,932566.5489944521,16,reached dual gap tolerance
253,cap71,60,8,1.905740737915039,932615.75,932536.3260970731,15,reached dual gap tolerance
254,cap71,60,10,2.1563735008239746,932615.75,932585.84375,19,reached dual gap tolerance
255,cap71,60,12,1.939182996749878,932615.75,932597.3,16,reached dual gap tolerance
256,cap71,60,14,2.016465663909912,932615.75,932535.368771029,17,reached dual gap tolerance
257,cap71,60,16,2.1106553077697754,932615.75,932556.0218893973,19,reached dual gap tolerance
258,cap71,60,18,2.079163074493408,932615.75,932537.6572818973,19,reached dual gap tolerance
259,cap71,60,20,2.1038174629211426,932615.75,932539.706085793,19,reached dual gap tolerance
260,cap71,70,2,10.708426713943481,932615.75,926365.1833865156,201,max iterations
261,cap71,70,4,11.568296909332275,932615.75,931362.122854035,201,max iterations
262,cap71,70,6,2.073655366897583,932615.75,932566.5489944521,16,reached dual gap tolerance
263,cap71,70,8,1.9396355152130127,932615.75,932536.3260970731,15,reached dual gap tolerance
264,cap71,70,10,2.183516025543213,932615.75,932585.84375,19,reached dual gap tolerance
265,cap71,70,12,2.013867139816284,932615.75,932597.3,16,reached dual gap tolerance
266,cap71,70,14,2.095201015472412,932615.75,932535.368771029,17,reached dual gap tolerance
267,cap71,70,16,2.1071932315826416,932615.75,932556.0218893973,19,reached dual gap tolerance
268,cap71,70,18,2.0711536407470703,932615.75,932537.6572818973,19,reached dual gap tolerance
269,cap71,70,20,2.1939778327941895,932615.75,932539.706085793,19,reached dual gap tolerance
270,cap71,80,2,11.225505590438843,932615.75,926365.1833865156,201,max iterations
271,cap71,80,4,11.620661735534668,932615.75,931362.122854035,201,max iterations
272,cap71,80,6,2.1092193126678467,932615.75,932566.5489944521,16,reached dual gap tolerance
273,cap71,80,8,1.9814138412475586,932615.75,932536.3260970731,15,reached dual gap tolerance
274,cap71,80,10,2.157686948776245,932615.75,932585.84375,19,reached dual gap tolerance
275,cap71,80,12,2.00656795501709,932615.75,932597.3,16,reached dual gap tolerance
276,cap71,80,14,2.0472826957702637,932615.75,932535.368771029,17,reached dual gap tolerance
277,cap71,80,16,2.1896700859069824,932615.75,932556.0218893973,19,reached dual gap tolerance
278,cap71,80,18,2.4446682929992676,932615.75,932537.6572818973,19,reached dual gap tolerance
279,cap71,80,20,2.2933812141418457,932615.75,932539.706085793,19,reached dual gap tolerance
280,cap71,90,2,10.854755878448486,932615.75,926365.1833865156,201,max iterations
281,cap71,90,4,11.638180255889893,932615.75,931362.122854035,201,max iterations
282,cap71,90,6,2.5229246616363525,932615.75,932566.5489944521,16,reached dual gap tolerance
283,cap71,90,8,2.2233352661132812,932615.75,932536.3260970731,15,reached dual gap tolerance
284,cap71,90,10,2.306002378463745,932615.75,932585.84375,19,reached dual gap tolerance
285,cap71,90,12,2.5283420085906982,932615.75,932597.3,16,reached dual gap tolerance
286,cap71,90,14,2.3321733474731445,932615.75,932535.368771029,17,reached dual gap tolerance
287,cap71,90,16,2.300739288330078,932615.75,932556.0218893973,19,reached dual gap tolerance
288,cap71,90,18,2.61112904548645,932615.75,932537.6572818973,19,reached dual gap tolerance
289,cap71,90,20,2.325235605239868,932615.75,932539.706085793,19,reached dual gap tolerance
290,cap71,100,2,11.264879941940308,932615.75,926365.1833865156,201,max iterations
291,cap71,100,4,11.864144086837769,932615.75,931362.122854035,201,max iterations
292,cap71,100,6,2.2966225147247314,932615.75,932566.5489944521,16,reached dual gap tolerance
